"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"stark","base","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.009,-550100000,0.8,0.85,-144.763157894737,-179.771241830065
"base","Innenstadt","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.019405,-5100000,0.85,0.9,-1.34210526315789,-1.66666666666667
"dekarbonisiert","Innenstadt","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.009405,-55100000,0.85,0.9,-14.5,-18.0065359477124
"stark","Innenstadt","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.00855,-555100000,0.75,0.85,-146.078947368421,-181.40522875817
"base","ganze Stadt","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.01891,-10100000,0.8,0.85,-2.65789473684211,-3.30065359477124
"dekarbonisiert","ganze Stadt","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.00891,-60100000,0.8,0.85,-15.8157894736842,-19.640522875817
"stark","ganze Stadt","base","Verbot","base","base","10 €/Jahr","0,00 €/h",0.0081,-560100000,0.75,0.8,-147.394736842105,-183.039215686275
"base","base","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.01891,-70100000,0.8,0.85,-18.4473684210526,-22.9084967320261
"dekarbonisiert","base","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.00891,-120100000,0.8,0.85,-31.6052631578947,-39.2483660130719
"stark","base","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.0081,-620100000,0.75,0.8,-163.184210526316,-202.647058823529
"base","Innenstadt","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.0184645,-75100000,0.75,0.85,-19.7631578947368,-24.5424836601307
"dekarbonisiert","Innenstadt","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.0084645,-125100000,0.75,0.85,-32.9210526315789,-40.8823529411765
"stark","Innenstadt","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.007695,-625100000,0.7,0.8,-164.5,-204.281045751634
"base","ganze Stadt","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.018019,-80100000,0.75,0.8,-21.078947368421,-26.1764705882353
"dekarbonisiert","ganze Stadt","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.008019,-130100000,0.75,0.8,-34.2368421052632,-42.516339869281
"stark","ganze Stadt","stark","Verbot","base","base","10 €/Jahr","0,00 €/h",0.00729,-630100000,0.65,0.75,-165.815789473684,-205.915032679739
"base","base","base","base","Maut","base","10 €/Jahr","0,00 €/h",1,3.65e+09,1,1,960.526315789474,1192.81045751634
"dekarbonisiert","base","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.99,3.6e+09,1,1,947.368421052632,1176.47058823529
