"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"base","base","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,3488917500,0.8,0.55,918.136184210526,1140.16911764706
"dekarbonisiert","base","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,3438917500,0.8,0.55,904.978289473684,1123.82924836601
"stark","base","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,2938917500,0.75,0.5,773.399342105263,960.430555555555
"base","Innenstadt","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,3443995970,0.8,0.5,906.314730263158,1125.48888071895
"dekarbonisiert","Innenstadt","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,3393995970,0.8,0.5,893.156835526316,1109.14901143791
"stark","Innenstadt","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,2893995970,0.7,0.5,761.577888157895,945.750318627451
"base","ganze Stadt","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,3393773000,0.8,0.5,893.098157894737,1109.07614379085
"dekarbonisiert","ganze Stadt","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,3343773000,0.8,0.5,879.940263157895,1092.7362745098
"stark","ganze Stadt","base","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,2843773000,0.7,0.5,748.361315789474,929.337581699346
"base","base","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,3333773000,0.8,0.5,877.308684210526,1089.46830065359
"dekarbonisiert","base","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,3283773000,0.8,0.5,864.150789473684,1073.12843137255
"stark","base","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,2783773000,0.7,0.5,732.571842105263,909.729738562091
"base","Innenstadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,3292313480,0.8,0.5,866.398284868421,1075.91943872549
"dekarbonisiert","Innenstadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,3242313480,0.8,0.5,853.240390131579,1059.57956944444
"stark","Innenstadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,2742313480,0.7,0.45,721.661442763158,896.180876633987
"base","ganze Stadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,3245817590,0.8,0.5,854.162523026316,1060.72470179739
"dekarbonisiert","ganze Stadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,3195817590,0.8,0.5,841.004628289474,1044.38483251634
"stark","ganze Stadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,2695817590,0.7,0.45,709.425680921053,880.986139705882
"base","base","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.85,841400000,0.95,0.85,221.421052631579,274.967320261438
"dekarbonisiert","base","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.85,791400000,0.95,0.85,208.263157894737,258.627450980392
"stark","base","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,291400000,0.85,0.8,76.6842105263158,95.2287581699346
"base","Innenstadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.8,819570000,0.95,0.85,215.676315789474,267.833333333333
"dekarbonisiert","Innenstadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.8,769570000,0.95,0.85,202.518421052632,251.493464052288
"stark","Innenstadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,269570000,0.85,0.8,70.9394736842105,88.09477124183
"base","ganze Stadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,789325000,0.9,0.8,207.717105263158,257.949346405229
"dekarbonisiert","ganze Stadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,739325000,0.9,0.8,194.559210526316,241.609477124183
"stark","ganze Stadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.7,239325000,0.85,0.75,62.9802631578947,78.2107843137254
"base","base","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,729325000,0.9,0.8,191.927631578947,238.341503267974
"dekarbonisiert","base","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,679325000,0.9,0.8,178.769736842105,222.001633986928
"stark","base","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.7,179325000,0.85,0.75,47.1907894736842,58.6029411764705
"base","Innenstadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.75,708336500,0.9,0.8,186.404342105263,231.482516339869
"dekarbonisiert","Innenstadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.7,658336500,0.9,0.8,173.246447368421,215.142647058823
"stark","Innenstadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.65,158336500,0.8,0.75,41.6675,51.743954248366
"base","ganze Stadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.7,679353750,0.9,0.75,178.777302631579,222.011029411765
"dekarbonisiert","ganze Stadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.7,629353750,0.9,0.75,165.619407894737,205.671160130719
"stark","ganze Stadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.6,129353750,0.8,0.75,34.0404605263158,42.2724673202614
"base","base","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.5,1998250000,0.9,0.75,525.855263157895,653.022875816994
"dekarbonisiert","base","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.5,1948250000,0.9,0.75,512.697368421053,636.683006535948
"stark","base","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1448250000,0.8,0.75,381.118421052632,473.28431372549
"base","Innenstadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.5,1916053000,0.9,0.75,504.22447368421,626.161111111111
"dekarbonisiert","Innenstadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.5,1866053000,0.9,0.75,491.066578947368,609.821241830065
"stark","Innenstadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1366053000,0.8,0.7,359.487631578947,446.422549019608
"base","ganze Stadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1826282500,0.85,0.75,480.600657894737,596.824346405229
"dekarbonisiert","ganze Stadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1776282500,0.85,0.75,467.442763157895,580.484477124183
"stark","ganze Stadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.4,1276282500,0.8,0.7,335.863815789474,417.085784313725
"base","base","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1766282500,0.85,0.75,464.811184210526,577.216503267974
"dekarbonisiert","base","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1716282500,0.85,0.75,451.653289473684,560.876633986928
"stark","base","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.4,1216282500,0.8,0.7,320.074342105263,397.477941176471
"base","Innenstadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1691047850,0.85,0.7,445.012592105263,552.630016339869
"dekarbonisiert","Innenstadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.45,1641047850,0.85,0.7,431.854697368421,536.290147058823
"stark","Innenstadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.4,1141047850,0.75,0.7,300.27575,372.891454248366
"base","ganze Stadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.4,1608618380,0.85,0.7,423.320625,525.692279411765
"dekarbonisiert","ganze Stadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.4,1558618380,0.85,0.7,410.162730263158,509.352410130719
"stark","ganze Stadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.35,1058618380,0.75,0.65,278.583782894737,345.953717320261
"base","base","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,-2e+05,0.65,0,-0.0526315789473684,-0.065359477124183
"dekarbonisiert","base","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-50200000,0.65,0,-13.2105263157895,-16.4052287581699
"stark","base","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-550200000,0.6,0,-144.789473684211,-179.803921568627
"base","Innenstadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,-5200000,0.65,0,-1.36842105263158,-1.69934640522876
"dekarbonisiert","Innenstadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-55200000,0.65,0,-14.5263157894737,-18.0392156862745
"stark","Innenstadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-555200000,0.6,0,-146.105263157895,-181.437908496732
"base","ganze Stadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,-10200000,0.65,0,-2.68421052631579,-3.33333333333333
"dekarbonisiert","ganze Stadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-60200000,0.65,0,-15.8421052631579,-19.6732026143791
"stark","ganze Stadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-560200000,0.6,0,-147.421052631579,-183.071895424837
"base","base","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,-70200000,0.65,0,-18.4736842105263,-22.9411764705882
"dekarbonisiert","base","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-120200000,0.65,0,-31.6315789473684,-39.281045751634
"stark","base","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-620200000,0.6,0,-163.210526315789,-202.679738562092
"base","Innenstadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,-75200000,0.65,0,-19.7894736842105,-24.5751633986928
"dekarbonisiert","Innenstadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-125200000,0.65,0,-32.9473684210526,-40.9150326797386
"stark","Innenstadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-625200000,0.6,0,-164.526315789474,-204.313725490196
"base","ganze Stadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0.01,-80200000,0.65,0,-21.1052631578947,-26.2091503267974
"dekarbonisiert","ganze Stadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-130200000,0.65,0,-34.2631578947368,-42.5490196078431
"stark","ganze Stadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","0,00 €/h",0,-630200000,0.6,0,-165.842105263158,-205.947712418301
"base","base","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.85,841500000,0.95,0.85,221.447368421053,275
"dekarbonisiert","base","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.85,791500000,0.95,0.85,208.289473684211,258.660130718954
"stark","base","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,291500000,0.85,0.8,76.7105263157895,95.2614379084967
"base","Innenstadt","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.8,819670000,0.95,0.85,215.702631578947,267.866013071895
"dekarbonisiert","Innenstadt","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.8,769670000,0.95,0.85,202.544736842105,251.52614379085
"stark","Innenstadt","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,269670000,0.85,0.8,70.9657894736842,88.1274509803921
"base","ganze Stadt","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,789425000,0.95,0.8,207.743421052632,257.982026143791
"dekarbonisiert","ganze Stadt","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,739425000,0.95,0.8,194.585526315789,241.642156862745
"stark","ganze Stadt","base","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,239425000,0.85,0.75,63.0065789473684,78.2434640522875
"base","base","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,729425000,0.95,0.8,191.953947368421,238.374183006536
"dekarbonisiert","base","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,679425000,0.95,0.8,178.796052631579,222.03431372549
"stark","base","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,179425000,0.85,0.75,47.2171052631579,58.6356209150326
"base","Innenstadt","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,708436500,0.95,0.8,186.430657894737,231.515196078431
"dekarbonisiert","Innenstadt","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,658436500,0.95,0.8,173.272763157895,215.175326797386
"stark","Innenstadt","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.65,158436500,0.85,0.75,41.6938157894737,51.7766339869281
"base","ganze Stadt","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,679453750,0.9,0.75,178.803618421053,222.043709150327
"dekarbonisiert","ganze Stadt","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,629453750,0.9,0.75,165.64572368421,205.703839869281
"stark","ganze Stadt","stark","base","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.6,129453750,0.85,0.75,34.0667763157894,42.3051470588235
"base","base","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,1998350000,0.9,0.75,525.881578947369,653.055555555556
"dekarbonisiert","base","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,1948350000,0.9,0.75,512.723684210526,636.71568627451
"stark","base","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1448350000,0.85,0.75,381.144736842105,473.316993464052
"base","Innenstadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,1916153000,0.9,0.75,504.250789473684,626.193790849673
"dekarbonisiert","Innenstadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,1866153000,0.9,0.75,491.092894736842,609.853921568627
"stark","Innenstadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1366153000,0.8,0.7,359.513947368421,446.45522875817
"base","ganze Stadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1826382500,0.9,0.75,480.626973684211,596.857026143791
"dekarbonisiert","ganze Stadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1776382500,0.9,0.75,467.469078947368,580.517156862745
"stark","ganze Stadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,1276382500,0.8,0.7,335.890131578947,417.118464052288
"base","base","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1766382500,0.9,0.75,464.8375,577.249183006536
"dekarbonisiert","base","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1716382500,0.9,0.75,451.679605263158,560.90931372549
"stark","base","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,1216382500,0.8,0.7,320.100657894737,397.510620915033
"base","Innenstadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1691147850,0.9,0.7,445.038907894737,552.662696078431
"dekarbonisiert","Innenstadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,1641147850,0.9,0.7,431.881013157895,536.322826797386
"stark","Innenstadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,1141147850,0.8,0.7,300.302065789474,372.924133986928
"base","ganze Stadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,1608718380,0.9,0.7,423.346940789474,525.724959150327
"dekarbonisiert","ganze Stadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,1558718380,0.9,0.7,410.189046052632,509.385089869281
"stark","ganze Stadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.35,1058718380,0.8,0.65,278.610098684211,345.986397058824
"base","base","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.018415,757250000,0.95,0.75,199.276315789474,247.467320261438
"dekarbonisiert","base","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.008415,707250000,0.95,0.75,186.118421052632,231.127450980392
"stark","base","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.00765,207250000,0.85,0.75,54.5394736842105,67.7287581699346
"base","Innenstadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.01799425,737103000,0.95,0.75,193.974473684211,240.883333333333
"dekarbonisiert","Innenstadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.00799425,687103000,0.95,0.75,180.816578947368,224.543464052288
"stark","Innenstadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.0072675,187103000,0.85,0.7,49.2376315789474,61.1447712418301
"base","ganze Stadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.0175735,709382500,0.9,0.75,186.679605263158,231.824346405229
"dekarbonisiert","ganze Stadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.0075735,659382500,0.9,0.75,173.521710526316,215.484477124183
"stark","ganze Stadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.006885,159382500,0.85,0.7,41.9427631578947,52.0857843137254
"base","base","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.0175735,649382500,0.9,0.75,170.890131578947,212.216503267974
"dekarbonisiert","base","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.0075735,599382500,0.9,0.75,157.732236842105,195.876633986928
"stark","base","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.006885,99382500,0.85,0.7,26.1532894736842,32.4779411764705
"base","Innenstadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.017194825,629992850,0.9,0.7,165.787592105263,205.880016339869
"dekarbonisiert","Innenstadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.007194825,579992850,0.9,0.7,152.629697368421,189.540147058823
"stark","Innenstadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.00654075,79992850,0.8,0.7,21.05075,26.141454248366
"base","ganze Stadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.01681615,603408380,0.9,0.7,158.791677631579,197.192279411765
"dekarbonisiert","ganze Stadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.00681615,553408380,0.9,0.7,145.633782894737,180.852410130719
"stark","ganze Stadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.0061965,53408370,0.8,0.65,14.0548355263158,17.4537173202614
"base","base","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.85,4354625000,0.95,0.85,1145.95394736842,1423.08006535948
"dekarbonisiert","base","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.85,4304625000,0.95,0.85,1132.79605263158,1406.74019607843
"stark","base","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,3804625000,0.85,0.8,1001.21710526316,1243.34150326797
"base","Innenstadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.8,4294013750,0.95,0.85,1130.00361842105,1403.27246732026
"dekarbonisiert","Innenstadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.8,4244013750,0.95,0.85,1116.84572368421,1386.93259803922
"stark","Innenstadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,3744013750,0.85,0.8,985.266776315789,1223.53390522876
"base","ganze Stadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,4224987500,0.95,0.8,1111.83881578947,1380.71486928105
"dekarbonisiert","ganze Stadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,4174987500,0.95,0.8,1098.68092105263,1364.375
"stark","ganze Stadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,3674987500,0.85,0.75,967.10197368421,1200.97630718954
"base","base","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,4164987500,0.95,0.8,1096.04934210526,1361.10702614379
"dekarbonisiert","base","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,4114987500,0.95,0.8,1082.89144736842,1344.76715686275
"stark","base","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,3614987500,0.85,0.75,951.3125,1181.36846405229
"base","Innenstadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.75,4109095880,0.95,0.8,1081.34101973684,1342.84178921569
"dekarbonisiert","Innenstadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,4059095880,0.95,0.8,1068.183125,1326.50191993464
"stark","Innenstadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.65,3559095880,0.85,0.75,936.604177631579,1163.10322712418
"base","ganze Stadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,4045210000,0.9,0.75,1064.52894736842,1321.96405228758
"dekarbonisiert","ganze Stadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.7,3995210000,0.9,0.75,1051.37105263158,1305.62418300654
"stark","ganze Stadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.6,3495210000,0.85,0.75,919.792105263158,1142.22549019608
"base","base","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,5117075000,0.9,0.7,1346.59868421053,1672.24673202614
"dekarbonisiert","base","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,5067075000,0.9,0.7,1333.44078947368,1655.9068627451
"stark","base","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4567075000,0.8,0.65,1201.86184210526,1492.50816993464
"base","Innenstadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,5013292250,0.85,0.65,1319.28743421053,1638.33080065359
"dekarbonisiert","Innenstadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.5,4963292250,0.85,0.65,1306.12953947368,1621.99093137255
"stark","Innenstadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4463292250,0.8,0.65,1174.55059210526,1458.59223856209
"base","ganze Stadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4902777500,0.85,0.65,1290.20460526316,1602.21486928105
"dekarbonisiert","ganze Stadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4852777500,0.85,0.65,1277.04671052632,1585.875
"stark","ganze Stadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,4352777500,0.8,0.6,1145.46776315789,1422.47630718954
"base","base","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4842777500,0.85,0.65,1274.41513157895,1582.60702614379
"dekarbonisiert","base","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4792777500,0.85,0.65,1261.25723684211,1566.26715686275
"stark","base","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,4292777500,0.8,0.6,1129.67828947368,1402.86846405229
"base","Innenstadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4748199820,0.85,0.65,1249.52626973684,1551.69928921569
"dekarbonisiert","Innenstadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.45,4698199820,0.85,0.65,1236.368375,1535.35941993464
"stark","Innenstadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,4198199820,0.75,0.6,1104.78942763158,1371.96072712418
"base","ganze Stadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,4647226750,0.85,0.6,1222.95440789474,1518.70155228758
"dekarbonisiert","ganze Stadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.4,4597226750,0.85,0.6,1209.79651315789,1502.36168300654
"stark","ganze Stadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.35,4097226750,0.75,0.6,1078.21756578947,1338.96299019608
"base","base","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.01,3686382500,0.85,0.55,970.100657894737,1204.70016339869
"dekarbonisiert","base","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0,3636382500,0.85,0.55,956.942763157895,1188.36029411765
"stark","base","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0,3136382500,0.8,0.5,825.363815789474,1024.96160130719
"base","Innenstadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.01,3649837720,0.85,0.5,960.483611842105,1192.75742647059
"dekarbonisiert","Innenstadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0,3599837720,0.85,0.5,947.325717105263,1176.41755718954
"stark","Innenstadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0,3099837720,0.75,0.5,815.746769736842,1013.01886437908
"base","ganze Stadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.01,3607991500,0.85,0.5,949.471447368421,1179.08218954248
"dekarbonisiert","ganze Stadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0,3557991500,0.85,0.5,936.313552631579,1162.74232026144
"stark","ganze Stadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0,3057991500,0.75,0.5,804.734605263158,999.34362745098
"base","base","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","0,00 €/h",0.01,3547991500,0.85,0.5,933.68197368421,1159.47434640523
