"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","drtTraffic","KostenProKopf","KostenProErwachsener"
"base","ganze Stadt","stark","zeroEmissionsZone","base","base",0.01,-8e+07,0.75,0.8,0,-21.0552631578947,-26.1470588235294
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","base","base",0,-1.3e+08,0.75,0.8,0,-34.2131578947368,-42.4869281045752
"stark","ganze Stadt","stark","zeroEmissionsZone","base","base",0,-6.3e+08,0.65,0.75,0,-165.792105263158,-205.885620915033
"base","base","base","zeroEmissionsZonePlusMaut","base","base",0.01,1.31e+09,0.55,0.65,0,345.786842105263,429.408496732026
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","base","base",0,1.26e+09,0.55,0.65,0,332.628947368421,413.06862745098
"stark","base","base","zeroEmissionsZonePlusMaut","base","base",0,6.3e+08,0.5,0.6,0,166.471052631579,206.728758169935
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","base","base",0.01,1.17e+09,0.5,0.6,0,308.576315789474,383.199346405229
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","base","base",0,1.12e+09,0.5,0.6,0,295.418421052632,366.859477124183
"stark","ganze Stadt","base","zeroEmissionsZonePlusMaut","base","base",0,5e+08,0.45,0.55,0,132.718421052632,164.813725490196
"base","base","stark","zeroEmissionsZonePlusMaut","base","base",0.01,1.11e+09,0.5,0.6,0,292.786842105263,363.591503267974
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","base","base",0,1.06e+09,0.5,0.6,0,279.628947368421,347.251633986928
"stark","base","stark","zeroEmissionsZonePlusMaut","base","base",0,4.4e+08,0.45,0.55,0,116.928947368421,145.205882352941
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","base","base",0.01,9.8e+08,0.45,0.55,0,259.034210526316,321.676470588235
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZonePlusMaut","base","base",0,9.3e+08,0.45,0.55,0,245.876315789474,305.33660130719
"stark","ganze Stadt","stark","zeroEmissionsZonePlusMaut","base","base",0,3.3e+08,0.4,0.55,0,86.2884210526316,107.155555555556
"base","base","base","autofrei","base","base",0.01,0,0,0,0,0,0
"dekarbonisiert","base","base","autofrei","base","base",0,-5e+07,0,0,0,-13.1578947368421,-16.3398692810458
"stark","base","base","autofrei","base","base",0,-5.5e+08,0,0,0,-144.736842105263,-179.738562091503
"base","ganze Stadt","base","autofrei","base","base",0.01,-1e+07,0,0,0,-2.63157894736842,-3.26797385620915
"dekarbonisiert","ganze Stadt","base","autofrei","base","base",0,-6e+07,0,0,0,-15.7894736842105,-19.6078431372549
"stark","ganze Stadt","base","autofrei","base","base",0,-5.6e+08,0,0,0,-147.368421052632,-183.006535947712
"base","base","stark","autofrei","base","base",0.01,-7e+07,0,0,0,-18.421052631579,-22.8758169934641
"dekarbonisiert","base","stark","autofrei","base","base",0,-1.2e+08,0,0,0,-31.5789473684211,-39.2156862745098
"stark","base","stark","autofrei","base","base",0,-6.2e+08,0,0,0,-163.157894736842,-202.614379084967
"base","ganze Stadt","stark","autofrei","base","base",0.01,-8e+07,0,0,0,-21.0526315789474,-26.1437908496732
